FileName,JobID,JobTitle,Department,Location,Status,DatePosted,ApplicationDeadline,Education,Experience,Skills,Summary
JD_001_Marketing_Coordinator.pdf,J001,Marketing Coordinator,Marketing,Quetta,Closed,2025-05-31,2025-06-17,Master's in Human Resource Management,5 years,- Project Management; - SQL; - Leadership; - Python Programming; - Excel; - Data Analysis,"The Marketing Coordinator role in Marketing is responsible for driving key initiatives and ensuring
successful outcomes in Quetta. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_002_Customer_Support_Lead.pdf,J002,Customer Support Lead,Content,Lahore,Open,2025-06-06,2025-07-18,Master's in Finance,8 years,- Data Analysis; - Cloud Computing; - Project Management; - Python Programming; - SQL; - UX Design,"The Customer Support Lead role in Content is responsible for driving key initiatives and ensuring
successful outcomes in Lahore. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_003_Senior_Data_Analyst.pdf,J003,Senior Data Analyst,Support,Lahore,Closed,2025-05-04,2025-05-20,Bachelor's in Computer Science,5 years,- Python Programming; - Communication; - Problem Solving; - Excel; - UX Design; - Project Management,"The Senior Data Analyst role in Support is responsible for driving key initiatives and ensuring
successful outcomes in Lahore. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_004_Procurement_Specialist.pdf,J004,Procurement Specialist,Marketing,Peshawar,Closed,2025-05-13,2025-06-12,MBA,7 years,- Excel; - Cloud Computing; - Data Analysis; - Python Programming; - UX Design; - Problem Solving,"The Procurement Specialist role in Marketing is responsible for driving key initiatives and ensuring
successful outcomes in Peshawar. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_005_Procurement_Specialist.pdf,J005,Procurement Specialist,IT,Karachi,Closed,2025-06-07,2025-07-07,Bachelor's in Computer Science,5 years,- Customer Service; - Data Analysis; - Problem Solving; - Communication; - UX Design; - Project Management,"The Procurement Specialist role in IT is responsible for driving key initiatives and ensuring
successful outcomes in Karachi. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_006_IT_Support_Specialist.pdf,J006,IT Support Specialist,IT,Islamabad,Open,2025-05-05,2025-06-18,Master's in Finance,3 years,- Customer Service; - SQL; - Python Programming; - Power BI; - Cloud Computing; - Leadership,"The IT Support Specialist role in IT is responsible for driving key initiatives and ensuring successful
outcomes in Islamabad. This position requires a highly motivated professional with exceptional
skills, commitment to excellence, and the ability to work in dynamic environments."
JD_007_Project_Manager.pdf,J007,Project Manager,Engineering,Karachi,Closed,2025-06-23,2025-07-25,Bachelor's in Business Administration,3 years,- Data Analysis; - Cloud Computing; - Problem Solving; - Power BI; - SQL; - UX Design,"The Project Manager role in Engineering is responsible for driving key initiatives and ensuring
successful outcomes in Karachi. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_008_Senior_Data_Analyst.pdf,J008,Senior Data Analyst,Procurement,Quetta,Closed,2025-06-24,2025-08-01,Master's in Finance,10 years,- Project Management; - Cloud Computing; - Excel; - Customer Service; - Python Programming; - Power BI,"The Senior Data Analyst role in Procurement is responsible for driving key initiatives and ensuring
successful outcomes in Quetta. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_009_Project_Manager.pdf,J009,Project Manager,Marketing,Lahore,Open,2025-05-14,2025-06-03,Master's in Human Resource Management,8 years,- SQL; - Communication; - Power BI; - Python Programming; - Customer Service; - Data Analysis,"The Project Manager role in Marketing is responsible for driving key initiatives and ensuring
successful outcomes in Lahore. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_010_Procurement_Specialist.pdf,J010,Procurement Specialist,Finance,Peshawar,Open,2025-05-19,2025-06-26,MBA,4 years,- SQL; - Power BI; - Project Management; - Problem Solving; - UX Design; - Excel,"The Procurement Specialist role in Finance is responsible for driving key initiatives and ensuring
successful outcomes in Peshawar. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_011_HR_Manager.pdf,J011,HR Manager,Project Management,Lahore,Closed,2025-05-09,2025-06-08,Bachelor's in Business Administration,8 years,- UX Design; - Data Analysis; - Leadership; - Excel; - Problem Solving; - Communication,"The HR Manager role in Project Management is responsible for driving key initiatives and ensuring
successful outcomes in Lahore. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_012_Software_Engineer.pdf,J012,Software Engineer,Analytics,Lahore,Closed,2025-06-24,2025-07-11,Bachelor's in Marketing,5 years,- SQL; - UX Design; - Python Programming; - Problem Solving; - Customer Service; - Excel,"The Software Engineer role in Analytics is responsible for driving key initiatives and ensuring
successful outcomes in Lahore. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_013_Project_Manager.pdf,J013,Project Manager,Finance,Karachi,Closed,2025-05-23,2025-06-09,Bachelor's in Business Administration,3 years,- Python Programming; - Problem Solving; - Customer Service; - Project Management; - Communication; - Leadership,"The Project Manager role in Finance is responsible for driving key initiatives and ensuring
successful outcomes in Karachi. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_014_QA_Engineer.pdf,J014,QA Engineer,Operations,Quetta,Open,2025-06-10,2025-06-30,MBA,4 years,- Excel; - Python Programming; - SQL; - Project Management; - Problem Solving; - Communication,"The QA Engineer role in Operations is responsible for driving key initiatives and ensuring successful
outcomes in Quetta. This position requires a highly motivated professional with exceptional skills,
commitment to excellence, and the ability to work in dynamic environments."
JD_015_Software_Engineer.pdf,J015,Software Engineer,Human Resources,Lahore,Closed,2025-06-24,2025-07-13,Master's in Human Resource Management,9 years,- Excel; - Cloud Computing; - UX Design; - Data Analysis; - Customer Service; - Problem Solving,"The Software Engineer role in Human Resources is responsible for driving key initiatives and
ensuring successful outcomes in Lahore. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_016_Customer_Support_Lead.pdf,J016,Customer Support Lead,IT,Peshawar,Closed,2025-05-31,2025-06-20,Bachelor's in Computer Science,10 years,- Project Management; - SQL; - Power BI; - Data Analysis; - Leadership; - Python Programming,"The Customer Support Lead role in IT is responsible for driving key initiatives and ensuring
successful outcomes in Peshawar. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
JD_017_Operations_Manager.pdf,J017,Operations Manager,Analytics,Islamabad,Open,2025-05-31,2025-07-10,MBA,6 years,- SQL; - Python Programming; - Communication; - Cloud Computing; - Problem Solving; - Power BI,"The Operations Manager role in Analytics is responsible for driving key initiatives and ensuring
successful outcomes in Islamabad. This position requires a highly motivated professional with
exceptional skills, commitment to excellence, and the ability to work in dynamic environments."
